song_title,musical,subsection,year,composer,lyricist,lexical_richness,lexical_density,most_used_words,go_neutral,go_approval,go_excitement,go_curiosity,go_joy,go_admiration,go_confusion,go_realization,go_optimism,go_caring,go_love,go_desire,go_annoyance,go_surprise,go_amusement,go_relief,go_disapproval,go_pride,go_anger,go_disappointment,go_fear,go_nervousness,go_disgust,go_gratitude,go_sadness,go_embarrassment,go_grief,go_remorse
Just Go to the Movies,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5121,0.4879,"movie, life, need, watch, high",0.3545,0.1654,0.0794,0.0175,0.2223,0.1986,0.0035,0.0059,0.0408,0.0559,0.0079,0.0081,0.0038,0.0017,0.0066,0.0095,0.0018,0.008,0.0008,0.0011,0.0008,0.0011,0.0005,0.0081,0.0012,0.0004,0.0006,0.0004
Famous Feet,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.4632,0.5037,"foot, famous, oh, grauman, footprint",0.4983,0.0256,0.0371,0.2509,0.0135,0.0269,0.0371,0.0268,0.0199,0.0043,0.2094,0.0198,0.0105,0.0163,0.0043,0.0008,0.0074,0.0004,0.0021,0.0049,0.0024,0.0015,0.0011,0.001,0.002,0.0007,0.0005,0.0007
I Love a Film Cliche,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5693,0.4336,"love, glad, mad, get, oh",0.1586,0.0506,0.0119,0.0734,0.0277,0.0457,0.0315,0.011,0.0055,0.0144,0.5083,0.0034,0.0656,0.0155,0.0032,0.0009,0.0517,0.0005,0.0087,0.0617,0.0038,0.0047,0.0123,0.0005,0.0302,0.0036,0.0011,0.0011
Nelson,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5236,0.412,"nelson, love, oh, put, film",0.3637,0.0216,0.0068,0.0059,0.0037,0.0307,0.0029,0.0239,0.0042,0.0107,0.2045,0.0068,0.0568,0.0968,0.002,0.0015,0.0209,0.0011,0.023,0.1342,0.0041,0.0023,0.0167,0.0009,0.1032,0.0032,0.0035,0.0023
The Best in the World,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.3991,0.4346,"good, papa, say, world, little",0.1402,0.1502,0.0265,0.0017,0.022,0.7144,0.0012,0.0131,0.0394,0.0234,0.0169,0.0068,0.0059,0.0023,0.0013,0.0037,0.0069,0.0094,0.0015,0.0287,0.0011,0.0007,0.0008,0.012,0.0124,0.0005,0.0014,0.0008
It All Comes Out of the Piano,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.375,0.4889,"piano, old, day, come, get",0.3225,0.0745,0.0506,0.0964,0.1004,0.1292,0.075,0.0089,0.0406,0.008,0.0564,0.0458,0.0186,0.0074,0.0044,0.0031,0.0306,0.0017,0.0032,0.0175,0.0018,0.0026,0.0017,0.0013,0.0026,0.001,0.0006,0.0006
Ain't We Got Fun,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.466,0.5157,"fun, get, be, dear, rich",0.3414,0.0197,0.0253,0.028,0.3232,0.0028,0.0215,0.0151,0.0067,0.0058,0.0023,0.003,0.0436,0.0033,0.1112,0.0064,0.0196,0.0008,0.0049,0.0351,0.0031,0.0087,0.004,0.0007,0.0269,0.0046,0.0012,0.0014
Too Marvelous for Words,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.3879,0.5603,"marvelous, word, tell, webster, dictionary",0.0269,0.0679,0.0076,0.002,0.0099,0.7585,0.0039,0.0069,0.0068,0.0026,0.4897,0.0023,0.0052,0.003,0.0015,0.0007,0.021,0.0021,0.002,0.0069,0.0006,0.0002,0.0015,0.0039,0.0013,0.0005,0.0003,0.0005
Japanese Sandman,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.5816,0.4894,"old, day, japanese, sandman, second",0.7108,0.0398,0.0185,0.0447,0.019,0.0153,0.0075,0.0071,0.094,0.0259,0.0068,0.011,0.0027,0.002,0.0019,0.002,0.0014,0.0009,0.0007,0.0016,0.0012,0.0009,0.0006,0.0016,0.0019,0.0003,0.0005,0.0006
On the Good Ship Lollipop,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.6397,0.4559,"good, ship, lollipop, away, trip",0.1523,0.0569,0.1434,0.1146,0.3225,0.0531,0.0055,0.0088,0.0395,0.0258,0.0301,0.1643,0.006,0.0033,0.0083,0.0231,0.0031,0.0039,0.0017,0.0048,0.0015,0.0054,0.0011,0.0025,0.0117,0.0011,0.0017,0.0011
Louise,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.3494,0.4137,"little, louise, love, tell, feel",0.055,0.0433,0.0718,0.1461,0.0415,0.3322,0.015,0.0077,0.0141,0.0116,0.5664,0.0249,0.003,0.0264,0.0021,0.0012,0.0028,0.0017,0.0021,0.0036,0.0023,0.0015,0.0014,0.0032,0.0055,0.0006,0.0009,0.0014
Sleepy Time Gal,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.6108,0.4371,"sleepy, time, gal, home, little",0.6345,0.0559,0.0082,0.0032,0.0142,0.0165,0.0048,0.0314,0.0502,0.1128,0.2257,0.0127,0.0036,0.002,0.0035,0.0015,0.002,0.0009,0.0013,0.0025,0.0013,0.0009,0.001,0.0031,0.0021,0.0006,0.0006,0.0009
Beyond the Blue Horizon,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.2632,0.5132,"horizon, blue, wait, beautiful, day",0.0642,0.0323,0.1717,0.0015,0.6158,0.0317,0.0015,0.0096,0.0205,0.0142,0.0624,0.023,0.0031,0.0052,0.0027,0.02,0.002,0.0075,0.0012,0.0051,0.0032,0.0063,0.001,0.0073,0.0188,0.001,0.0027,0.0016
Thanks for the Memories,A Day in Hollywood / A Night in the Ukraine,Act Unknown,1979,Frank Lazarus and others,Dick Vosburgh,0.7778,0.4889,"thank, memory, toast, cruise, pajama",0.0088,0.0233,0.0057,0.0038,0.0091,0.0156,0.0049,0.0073,0.0044,0.0015,0.0553,0.0018,0.0027,0.0023,0.0073,0.0019,0.0018,0.0006,0.0011,0.0017,0.0005,0.0003,0.0012,0.9845,0.0022,0.0006,0.0005,0.0016
